Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Ecuabet;Ecuador;19389;Digital_chito_veraEC;1213088;FacebookEcuabet;0;1;3
2024-06-01-2024-06-30;Doradobet;Perú;19649;Libertadores_FacebookPE_Generico;46079;Facebook_DBPE;0;7;85
2024-06-01-2024-06-30;Ecuabet;Ecuador;19120;Regalo_Registro_AdCashEC_Popunder;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;18909;Sorteo_Copa_America_FacebookEC_BA;1213088;FacebookEcuabet;0;2;12
2024-06-01-2024-06-30;Doradobet;Chile;18949;Regalo_Registro_FacebookCH_BA;1160207;QuotaMedia_DBCL;0;2;7350
2024-06-01-2024-06-30;Doradobet;Costa Rica;19695;Influencer_Generico_FacebookCR_Gustavo_BA;779030;QuotaMedia_DBCR;0;1;2000
2024-06-01-2024-06-30;Ecuabet;Ecuador;19522;Super_bowl_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;2;7
2024-06-01-2024-06-30;Ecuabet;Ecuador;19146;Regalo_Registro_BesoccerEC_320X480;255431;QuotaMedia_ECEC;0;1;3
2024-06-01-2024-06-30;Ecuabet;Ecuador;19533;Regalo_Bienvenida_BidQuestEC;255431;QuotaMedia_ECEC;0;2;7
2024-06-01-2024-06-30;Doradobet;Nicaragua;19822;Short;7281073;nnmercadeo;0;2;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;2619;ANDRÉS PONCE;7274690;Ponce;0;1;3
2024-06-01-2024-06-30;Ecuabet;Ecuador;19860;ReCopa_TwitterEC_Genérico_LDU;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;19863;Lotteria_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;18907;Americanos_FacebookEC_BA;1213088;FacebookEcuabet;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;18757;Sorteo_Reyes_FacebookEC_BA;1213088;FacebookEcuabet;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;19862;ReCopa_TwitterEC_Cuota_Combinada;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;19861;ReCopa_TwitterEC_Cuota;255431;QuotaMedia_ECEC;0;1;10
